Name: Elliot Street, Instruction: Head east on Elliot Street, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Turn right, Distance: 254.9 meters, Time: 183.5 seconds
Name: Cathcart Street, Instruction: Turn left onto Cathcart Street, Distance: 12.3 meters, Time: 8.8 seconds
Name: Jan van Riebeeck Avenue, Instruction: Turn right onto Jan van Riebeeck Avenue, Distance: 21.4 meters, Time: 15.4 seconds
Name: Jan van Riebeeck Avenue, Instruction: Keep left onto Jan van Riebeeck Avenue, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Turn left, Distance: 852.7 meters, Time: 613.9 seconds
Name: -, Instruction: Turn slight right, Distance: 95.5 meters, Time: 68.8 seconds
Name: -, Instruction: Turn left, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: Athlone Street, Instruction: Turn left onto Athlone Street, Distance: 185.2 meters, Time: 133.3 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 19.0 meters, Time: 13.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
