Name: Clark Crescent, Instruction: Head east on Clark Crescent, Distance: 46.9 meters, Time: 33.8 seconds
Name: Edwin Avenue, Instruction: Turn right onto Edwin Avenue, Distance: 342.0 meters, Time: 246.2 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: West Toronto Railpath, Instruction: Turn right onto West Toronto Railpath, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 133.5 meters, Time: 96.1 seconds
Name: -, Instruction: Turn left, Distance: 196.3 meters, Time: 141.3 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 134.0 meters, Time: 96.4 seconds
Name: -, Instruction: Turn right, Distance: 146.5 meters, Time: 105.4 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Edna Avenue, Instruction: Turn right onto Edna Avenue, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 197.8 meters, Time: 142.4 seconds
Name: -, Instruction: Turn left, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Indian Road, Instruction: Turn left onto Indian Road, Distance: 40.5 meters, Time: 29.1 seconds
Name: -, Instruction: Turn right, Distance: 251.9 meters, Time: 181.4 seconds
Name: -, Instruction: Keep left, Distance: 28.0 meters, Time: 20.1 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep right, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
