Name: Checkerberry Court, Instruction: Head northeast on Checkerberry Court, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 75.7 meters, Time: 54.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Turn left, Distance: 128.2 meters, Time: 92.3 seconds
Name: Ranui to Henderson Shared Path, Instruction: Turn right onto Ranui to Henderson Shared Path, Distance: 15.0 meters, Time: 10.8 seconds
Name: Ranui to Henderson Shared Path, Instruction: Turn right onto Ranui to Henderson Shared Path, Distance: 13.5 meters, Time: 9.7 seconds
Name: Ranui to Henderson Shared Path, Instruction: Keep left onto Ranui to Henderson Shared Path, Distance: 65.7 meters, Time: 47.3 seconds
Name: -, Instruction: Keep right, Distance: 383.9 meters, Time: 276.4 seconds
Name: -, Instruction: Turn right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 304.4 meters, Time: 219.2 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn left, Distance: 78.6 meters, Time: 56.6 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 108.9 meters, Time: 78.4 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 86.4 meters, Time: 62.2 seconds
Name: Chablis Place, Instruction: Turn right onto Chablis Place, Distance: 75.4 meters, Time: 54.3 seconds
Name: -, Instruction: Arrive at Chablis Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
