Name: Gneisenaustraße, Instruction: Head east on Gneisenaustraße, Distance: 97.4 meters, Time: 70.1 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 126.1 meters, Time: 90.8 seconds
Name: -, Instruction: Turn right, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: Dürrstraße, Instruction: Turn right onto Dürrstraße, Distance: 6.8 meters, Time: 4.9 seconds
Name: Gärtnerstraße, Instruction: Turn left onto Gärtnerstraße, Distance: 283.6 meters, Time: 204.2 seconds
Name: -, Instruction: Turn right, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Keep right, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn left, Distance: 225.0 meters, Time: 162.0 seconds
Name: -, Instruction: Continue straight, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Continue straight, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Turn right, Distance: 93.0 meters, Time: 67.0 seconds
Name: Werner-Seelenbinder-Weg, Instruction: Turn right onto Werner-Seelenbinder-Weg, Distance: 175.4 meters, Time: 126.3 seconds
Name: Werner-Seelenbinder-Weg, Instruction: Continue straight onto Werner-Seelenbinder-Weg, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 137.9 meters, Time: 99.3 seconds
Name: -, Instruction: Keep left, Distance: 210.9 meters, Time: 151.8 seconds
Name: Werner-Seelenbinder-Weg, Instruction: Turn slight left onto Werner-Seelenbinder-Weg, Distance: 82.9 meters, Time: 59.7 seconds
Name: -, Instruction: Keep left, Distance: 93.0 meters, Time: 67.0 seconds
Name: -, Instruction: Keep right, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn slight right, Distance: 65.6 meters, Time: 47.2 seconds
Name: Kolehmainenweg, Instruction: Turn left onto Kolehmainenweg, Distance: 134.6 meters, Time: 96.9 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 82.1 meters, Time: 59.1 seconds
Name: -, Instruction: Turn right, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Continue straight, Distance: 30.2 meters, Time: 21.8 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.7 seconds
Name: N, Instruction: Turn sharp left onto N, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn right, Distance: 52.4 meters, Time: 37.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
