Name: Lorong 27A Geylang, Instruction: Head south on Lorong 27A Geylang, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Turn right, Distance: 175.4 meters, Time: 126.2 seconds
Name: Lorong 25A Geylang, Instruction: Turn left onto Lorong 25A Geylang, Distance: 42.1 meters, Time: 30.3 seconds
Name: Geylang Road, Instruction: Turn right onto Geylang Road, Distance: 96.9 meters, Time: 69.7 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 237.2 meters, Time: 170.7 seconds
Name: -, Instruction: Keep left, Distance: 271.6 meters, Time: 195.5 seconds
Name: Lorong 13 Geylang, Instruction: Turn right onto Lorong 13 Geylang, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 35.5 meters, Time: 25.6 seconds
Name: -, Instruction: Turn left, Distance: 164.7 meters, Time: 118.5 seconds
Name: Lorong 7 Geylang, Instruction: Turn right onto Lorong 7 Geylang, Distance: 49.4 meters, Time: 35.6 seconds
Name: Lorong Tahar, Instruction: Turn left onto Lorong Tahar, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Turn right, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: Sims Avenue, Instruction: Turn left onto Sims Avenue, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at Sims Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
