Name: Long Street, Instruction: Head north on Long Street, Distance: 230.4 meters, Time: 165.9 seconds
Name: -, Instruction: Turn left, Distance: 98.0 meters, Time: 70.5 seconds
Name: Prospect Creek Cycle Path, Instruction: Turn sharp left onto Prospect Creek Cycle Path, Distance: 1166.6 meters, Time: 840.0 seconds
Name: Prospect Creek Cycle Path, Instruction: Keep right onto Prospect Creek Cycle Path, Distance: 109.2 meters, Time: 78.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 72.4 meters, Time: 52.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 84.6 meters, Time: 60.9 seconds
Name: Prospect Creek Shared Path (south), Instruction: Keep left onto Prospect Creek Shared Path (south), Distance: 148.5 meters, Time: 106.9 seconds
Name: -, Instruction: Turn right, Distance: 187.6 meters, Time: 135.0 seconds
Name: -, Instruction: Turn right, Distance: 193.0 meters, Time: 139.0 seconds
Name: The Horsley Drive, Instruction: Turn left onto The Horsley Drive, Distance: 12.7 meters, Time: 9.1 seconds
Name: Oxford Street, Instruction: Turn sharp right onto Oxford Street, Distance: 526.5 meters, Time: 379.1 seconds
Name: Oxford Street, Instruction: Enter the roundabout and take the 2nd exit onto Oxford Street, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn slight left, Distance: 91.0 meters, Time: 65.5 seconds
Name: Fabos Place, Instruction: Turn left onto Fabos Place, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Arrive at Fabos Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
