Name: Alfred Street, Instruction: Head north on Alfred Street, Distance: 9.7 meters, Time: 7.0 seconds
Name: Darling Street, Instruction: Turn right onto Darling Street, Distance: 110.8 meters, Time: 79.7 seconds
Name: Darling Street, Instruction: Continue straight onto Darling Street, Distance: 85.9 meters, Time: 61.9 seconds
Name: Ashley Street, Instruction: Turn left onto Ashley Street, Distance: 187.7 meters, Time: 135.2 seconds
Name: -, Instruction: Turn right, Distance: 79.1 meters, Time: 56.9 seconds
Name: -, Instruction: Turn left, Distance: 91.6 meters, Time: 65.9 seconds
Name: -, Instruction: Turn right, Distance: 129.3 meters, Time: 93.1 seconds
Name: Silva Street, Instruction: Turn left onto Silva Street, Distance: 126.1 meters, Time: 90.8 seconds
Name: Fletcher Street, Instruction: Turn right onto Fletcher Street, Distance: 23.0 meters, Time: 16.6 seconds
Name: Dudley Street, Instruction: Turn left onto Dudley Street, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 78.6 meters, Time: 56.6 seconds
Name: Rowland Avenue, Instruction: Turn left onto Rowland Avenue, Distance: 115.0 meters, Time: 82.8 seconds
Name: Wilga Street, Instruction: Turn right onto Wilga Street, Distance: 68.0 meters, Time: 49.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 82.9 meters, Time: 59.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 419.7 meters, Time: 302.2 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Keep right, Distance: 407.3 meters, Time: 293.2 seconds
Name: -, Instruction: Turn left, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.3 seconds
Name: Beach Road, Instruction: Turn left onto Beach Road, Distance: 89.6 meters, Time: 64.5 seconds
Name: Gould Street, Instruction: Turn right onto Gould Street, Distance: 108.7 meters, Time: 78.3 seconds
Name: -, Instruction: Arrive at Gould Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
