Name: Riverdale Farm Service Road, Instruction: Head southwest on Riverdale Farm Service Road, Distance: 148.6 meters, Time: 107.0 seconds
Name: To Street Parking, Instruction: Turn left onto To Street Parking, Distance: 41.1 meters, Time: 29.6 seconds
Name: To Street Parking, Instruction: Turn slight right onto To Street Parking, Distance: 54.9 meters, Time: 39.5 seconds
Name: Riverdale Park Crossing, Instruction: Turn left onto Riverdale Park Crossing, Distance: 88.0 meters, Time: 63.3 seconds
Name: Riverdale Park Crossing, Instruction: Keep right onto Riverdale Park Crossing, Distance: 34.5 meters, Time: 24.8 seconds
Name: -, Instruction: Turn right, Distance: 61.5 meters, Time: 44.3 seconds
Name: River Street Trail, Instruction: Turn slight left onto River Street Trail, Distance: 40.7 meters, Time: 29.3 seconds
Name: River Street Trail, Instruction: Continue straight onto River Street Trail, Distance: 51.0 meters, Time: 36.7 seconds
Name: River Street, Instruction: Turn left onto River Street, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn right, Distance: 250.6 meters, Time: 180.4 seconds
Name: Oak Street, Instruction: Turn left onto Oak Street, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Turn slight right, Distance: 507.9 meters, Time: 365.7 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 74.3 meters, Time: 53.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
