Name: Viella Street, Instruction: Head east on Viella Street, Distance: 186.9 meters, Time: 134.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 107.3 meters, Time: 77.2 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: Gunns Road, Instruction: Turn right onto Gunns Road, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn right, Distance: 143.3 meters, Time: 103.1 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 49.4 meters, Time: 35.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
