Name: 11th Avenue, Instruction: Head northeast on 11th Avenue, Distance: 114.5 meters, Time: 82.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 88.5 meters, Time: 63.7 seconds
Name: 26th Street, Instruction: Turn left onto 26th Street, Distance: 63.1 meters, Time: 45.5 seconds
Name: -, Instruction: Keep left, Distance: 91.7 meters, Time: 66.0 seconds
Name: 26th Street, Instruction: Turn slight left onto 26th Street, Distance: 342.7 meters, Time: 246.7 seconds
Name: -, Instruction: Continue straight, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 172.8 meters, Time: 124.4 seconds
Name: May Street, Instruction: Turn right onto May Street, Distance: 22.6 meters, Time: 16.2 seconds
Name: -, Instruction: Turn left, Distance: 87.6 meters, Time: 63.1 seconds
Name: -, Instruction: Turn right, Distance: 65.4 meters, Time: 47.1 seconds
Name: -, Instruction: Turn slight right, Distance: 89.1 meters, Time: 64.2 seconds
Name: Betty Street, Instruction: Turn right onto Betty Street, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn right, Distance: 43.5 meters, Time: 31.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 147.3 meters, Time: 106.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 54.2 meters, Time: 39.0 seconds
Name: -, Instruction: Keep left, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn left, Distance: 53.7 meters, Time: 38.6 seconds
Name: C.L. Adams Avenue, Instruction: Turn right onto C.L. Adams Avenue, Distance: 52.5 meters, Time: 37.8 seconds
Name: Norwood Road, Instruction: Turn left onto Norwood Road, Distance: 96.0 meters, Time: 69.1 seconds
Name: -, Instruction: Turn right, Distance: 42.3 meters, Time: 30.5 seconds
Name: 30th Street, Instruction: Turn sharp right onto 30th Street, Distance: 178.7 meters, Time: 128.7 seconds
Name: 30th Avenue, Instruction: Turn right onto 30th Avenue, Distance: 213.3 meters, Time: 153.6 seconds
Name: Halt Road, M76, Instruction: Turn left onto Halt Road, M76, Distance: 84.9 meters, Time: 61.2 seconds
Name: 31st Avenue, Instruction: Turn right onto 31st Avenue, Distance: 85.5 meters, Time: 61.6 seconds
Name: 31st Avenue, Instruction: Turn right onto 31st Avenue, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Arrive at 31st Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
