Name: Taman Selamat, Instruction: Head east on Taman Selamat, Distance: 157.5 meters, Time: 113.4 seconds
Name: -, Instruction: Turn left, Distance: 43.4 meters, Time: 31.3 seconds
Name: -, Instruction: Turn right, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 55.4 meters, Time: 39.9 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 153.5 meters, Time: 110.5 seconds
Name: Jalan Grisek, Instruction: Turn left onto Jalan Grisek, Distance: 189.8 meters, Time: 136.6 seconds
Name: -, Instruction: Turn left, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn left, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 167.6 meters, Time: 120.7 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 9.0 seconds
Name: -, Instruction: Turn slight right, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn slight right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 61.6 meters, Time: 44.4 seconds
Name: Siglap Road, Instruction: Continue straight onto Siglap Road, Distance: 19.0 meters, Time: 13.7 seconds
Name: Maria Avenue, Instruction: Turn left onto Maria Avenue, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 44.5 meters, Time: 32.1 seconds
Name: Taman Siglap, Instruction: Turn right onto Taman Siglap, Distance: 9.1 meters, Time: 6.5 seconds
Name: Siglap Road, Instruction: Turn left onto Siglap Road, Distance: 19.2 meters, Time: 13.8 seconds
Name: Siglap Road, Instruction: Turn right onto Siglap Road, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 157.7 meters, Time: 113.6 seconds
Name: -, Instruction: Keep right, Distance: 335.8 meters, Time: 241.8 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 491.7 meters, Time: 354.0 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn slight left, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Turn right, Distance: 195.4 meters, Time: 140.7 seconds
Name: -, Instruction: Keep right, Distance: 115.0 meters, Time: 82.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
