Name: Stella Road, Instruction: Head northeast on Stella Road, Distance: 81.5 meters, Time: 58.7 seconds
Name: Stella Cove, Instruction: Turn sharp left onto Stella Cove, Distance: 86.6 meters, Time: 62.3 seconds
Name: Stella Cove, Instruction: Turn right onto Stella Cove, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Turn left, Distance: 26.9 meters, Time: 19.3 seconds
Name: -, Instruction: Turn right, Distance: 28.7 meters, Time: 20.7 seconds
Name: Tanzanite Boulevard, Instruction: Turn right onto Tanzanite Boulevard, Distance: 139.5 meters, Time: 100.4 seconds
Name: Tanzanite Boulevard, Instruction: Enter the roundabout and take the 1st exit onto Tanzanite Boulevard, Distance: 371.7 meters, Time: 267.6 seconds
Name: Tanzanite Boulevard, Instruction: Enter the roundabout and take the 2nd exit onto Tanzanite Boulevard, Distance: 182.8 meters, Time: 131.6 seconds
Name: Tanzanite Boulevard, Instruction: Enter the roundabout and take the 3rd exit onto Tanzanite Boulevard, Distance: 168.9 meters, Time: 121.6 seconds
Name: Tanzanite Boulevard, Instruction: Enter the roundabout and take the 3rd exit onto Tanzanite Boulevard, Distance: 130.8 meters, Time: 94.1 seconds
Name: Tanzanite Boulevard, Instruction: Continue straight onto Tanzanite Boulevard, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
