Name: Little Dorrit Court, Instruction: Head southeast on Little Dorrit Court, Distance: 98.9 meters, Time: 71.2 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 69.0 meters, Time: 49.7 seconds
Name: Tabard Street, Instruction: Turn left onto Tabard Street, Distance: 66.2 meters, Time: 47.6 seconds
Name: -, Instruction: Turn left, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Tabard Street, Instruction: Turn slight left onto Tabard Street, Distance: 173.7 meters, Time: 125.0 seconds
Name: Tabard Street, Instruction: Continue straight onto Tabard Street, Distance: 92.2 meters, Time: 66.4 seconds
Name: -, Instruction: Turn left, Distance: 43.7 meters, Time: 31.5 seconds
Name: -, Instruction: Keep right, Distance: 204.0 meters, Time: 146.9 seconds
Name: Pardoner Street, Instruction: Turn left onto Pardoner Street, Distance: 28.4 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 74.5 meters, Time: 53.6 seconds
Name: Law Street, Instruction: Turn left onto Law Street, Distance: 70.7 meters, Time: 50.9 seconds
Name: Wild's Rents, Instruction: Turn right onto Wild's Rents, Distance: 36.2 meters, Time: 26.0 seconds
Name: -, Instruction: Arrive at Wild's Rents, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
