Name: Cavendish Road, Instruction: Head south on Cavendish Road, Distance: 54.7 meters, Time: 39.4 seconds
Name: Devonshire Road, Instruction: Turn left onto Devonshire Road, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn right, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 95.7 meters, Time: 68.9 seconds
Name: -, Instruction: Turn right, Distance: 37.9 meters, Time: 27.3 seconds
Name: Alexandra Road, Instruction: Turn right onto Alexandra Road, Distance: 236.9 meters, Time: 170.6 seconds
Name: Victoria Road, Instruction: Turn left onto Victoria Road, Distance: 8.9 meters, Time: 6.4 seconds
Name: Wilson Avenue, Instruction: Turn right onto Wilson Avenue, Distance: 509.6 meters, Time: 366.9 seconds
Name: -, Instruction: Turn left, Distance: 188.6 meters, Time: 135.8 seconds
Name: -, Instruction: Turn left, Distance: 156.9 meters, Time: 113.0 seconds
Name: -, Instruction: Turn right, Distance: 54.4 meters, Time: 39.1 seconds
Name: -, Instruction: Turn left, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.3 seconds
Name: -, Instruction: Turn slight left, Distance: 154.3 meters, Time: 111.1 seconds
Name: Kennedy Close, Instruction: Turn left onto Kennedy Close, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Arrive at Kennedy Close, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
