Name: Cinnamon Mews, Instruction: Head south on Cinnamon Mews, Distance: 42.3 meters, Time: 30.4 seconds
Name: Stonard Road, Instruction: Turn left onto Stonard Road, Distance: 41.3 meters, Time: 29.7 seconds
Name: Avondale Road, Instruction: Turn left onto Avondale Road, Distance: 109.8 meters, Time: 79.1 seconds
Name: Meadowcroft Road, Instruction: Turn right onto Meadowcroft Road, Distance: 230.1 meters, Time: 165.6 seconds
Name: Green Lanes, Instruction: Turn left onto Green Lanes, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Continue straight, Distance: 26.4 meters, Time: 19.0 seconds
Name: Green Lanes, Instruction: Continue straight onto Green Lanes, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Continue straight, Distance: 14.9 meters, Time: 10.7 seconds
Name: Green Lanes, Instruction: Continue straight onto Green Lanes, Distance: 69.1 meters, Time: 49.8 seconds
Name: -, Instruction: Continue straight, Distance: 23.7 meters, Time: 17.1 seconds
Name: Green Lanes, Instruction: Continue straight onto Green Lanes, Distance: 200.8 meters, Time: 144.6 seconds
Name: -, Instruction: Continue straight, Distance: 44.4 meters, Time: 31.9 seconds
Name: Green Lanes, Instruction: Continue straight onto Green Lanes, Distance: 38.4 meters, Time: 27.7 seconds
Name: -, Instruction: Continue straight, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
