Name: Marshall Road, Instruction: Head west on Marshall Road, Distance: 74.7 meters, Time: 53.8 seconds
Name: Riebeek Street, Instruction: Turn left onto Riebeek Street, Distance: 168.8 meters, Time: 121.6 seconds
Name: Hofmeyer Street, Instruction: Turn right onto Hofmeyer Street, Distance: 75.4 meters, Time: 54.3 seconds
Name: Spencer Street, Instruction: Turn left onto Spencer Street, Distance: 70.2 meters, Time: 50.5 seconds
Name: -, Instruction: Turn left, Distance: 194.9 meters, Time: 140.4 seconds
Name: -, Instruction: Turn left, Distance: 28.0 meters, Time: 20.1 seconds
Name: -, Instruction: Turn right, Distance: 75.3 meters, Time: 54.2 seconds
Name: Hamilton Street, Instruction: Turn left onto Hamilton Street, Distance: 13.3 meters, Time: 9.5 seconds
Name: Milton Road, Instruction: Turn right onto Milton Road, Distance: 241.4 meters, Time: 173.8 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 86.8 meters, Time: 62.5 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 297.7 meters, Time: 214.3 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.6 seconds
Name: Alice Street, Instruction: Turn left onto Alice Street, Distance: 341.5 meters, Time: 245.9 seconds
Name: Dingle Road, Instruction: Turn right onto Dingle Road, Distance: 75.5 meters, Time: 54.3 seconds
Name: -, Instruction: Arrive at Dingle Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
