Name: Twisted Pine Circle South, Instruction: Head northeast on Twisted Pine Circle South, Distance: 327.6 meters, Time: 235.9 seconds
Name: Ebony Lane, Instruction: Turn right onto Ebony Lane, Distance: 80.9 meters, Time: 58.3 seconds
Name: Cottonwood Drive, Instruction: Turn left onto Cottonwood Drive, Distance: 109.1 meters, Time: 78.5 seconds
Name: Cherrywood Avenue, Instruction: Turn right onto Cherrywood Avenue, Distance: 291.3 meters, Time: 209.7 seconds
Name: Pecos Street, Instruction: Turn right onto Pecos Street, Distance: 25.5 meters, Time: 18.4 seconds
Name: Pecos Street, Instruction: Keep left onto Pecos Street, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn left, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Keep right, Distance: 29.5 meters, Time: 21.3 seconds
Name: -, Instruction: Keep right, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Turn left, Distance: 68.2 meters, Time: 49.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
