Name: Cavendish Road, Instruction: Head south on Cavendish Road, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 97.4 meters, Time: 70.1 seconds
Name: -, Instruction: Turn slight right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn slight right, Distance: 103.4 meters, Time: 74.4 seconds
Name: Harewood Road, Instruction: Turn right onto Harewood Road, Distance: 6.6 meters, Time: 4.7 seconds
Name: Devonshire Road, Instruction: Turn left onto Devonshire Road, Distance: 94.8 meters, Time: 68.3 seconds
Name: Robinson Road, Instruction: Turn right onto Robinson Road, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight right, Distance: 8.7 meters, Time: 6.3 seconds
Name: Singleton Close, Instruction: Turn left onto Singleton Close, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn slight right, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Keep right, Distance: 5.1 meters, Time: 3.7 seconds
Name: Flanders Crescent, Instruction: Turn slight left onto Flanders Crescent, Distance: 75.6 meters, Time: 54.5 seconds
Name: Finborough Road, Instruction: Turn left onto Finborough Road, Distance: 131.7 meters, Time: 94.8 seconds
Name: Mitcham Road, A217, Instruction: Turn left onto Mitcham Road, A217, Distance: 24.6 meters, Time: 17.7 seconds
Name: Grenfell Road, Instruction: Turn right onto Grenfell Road, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 105.4 meters, Time: 75.9 seconds
Name: -, Instruction: Turn left, Distance: 29.6 meters, Time: 21.3 seconds
Name: Sandra Court, Instruction: Turn right onto Sandra Court, Distance: 4.1 meters, Time: 2.9 seconds
Name: Sirdar Road, Instruction: Turn left onto Sirdar Road, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Arrive at Sirdar Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
