Name: Pepene Avenue, Instruction: Head southwest on Pepene Avenue, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Turn right, Distance: 64.3 meters, Time: 46.3 seconds
Name: -, Instruction: Turn left, Distance: 194.4 meters, Time: 140.0 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.8 seconds
Name: -, Instruction: Turn slight right, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: Adlam Lane, Instruction: Turn right onto Adlam Lane, Distance: 11.9 meters, Time: 8.6 seconds
Name: Te Napi Drive, Instruction: Turn left onto Te Napi Drive, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 103.1 meters, Time: 74.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
