Name: Burndale Terrace, Instruction: Head east on Burndale Terrace, Distance: 77.7 meters, Time: 56.0 seconds
Name: Gainsborough Street, Instruction: Turn left onto Gainsborough Street, Distance: 274.9 meters, Time: 197.9 seconds
Name: Winsford Street, Instruction: Turn left onto Winsford Street, Distance: 236.0 meters, Time: 169.9 seconds
Name: Wordsworth Road, Instruction: Turn left onto Wordsworth Road, Distance: 348.3 meters, Time: 250.8 seconds
Name: Swallow Drive, Instruction: Turn right onto Swallow Drive, Distance: 302.3 meters, Time: 217.7 seconds
Name: Swallow Drive, Instruction: Keep right onto Swallow Drive, Distance: 19.2 meters, Time: 13.8 seconds
Name: Russell Road, Instruction: Enter the roundabout and take the 1st exit onto Russell Road, Distance: 211.2 meters, Time: 152.0 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 95.4 meters, Time: 68.7 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.2 seconds
Name: Russell Road, Instruction: Turn right onto Russell Road, Distance: 33.1 meters, Time: 23.9 seconds
Name: -, Instruction: Turn right, Distance: 123.8 meters, Time: 89.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
