Name: Fenham Road, Instruction: Head east on Fenham Road, Distance: 154.6 meters, Time: 111.3 seconds
Name: Naylor Road, Instruction: Turn right onto Naylor Road, Distance: 22.2 meters, Time: 16.0 seconds
Name: Studholme Street, Instruction: Turn left onto Studholme Street, Distance: 192.5 meters, Time: 138.6 seconds
Name: Asylum Road, Instruction: Turn right onto Asylum Road, Distance: 32.9 meters, Time: 23.7 seconds
Name: Clifton Crescent, Instruction: Turn left onto Clifton Crescent, Distance: 228.1 meters, Time: 164.3 seconds
Name: -, Instruction: Turn slight left, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Turn right, Distance: 186.8 meters, Time: 134.5 seconds
Name: -, Instruction: Turn left, Distance: 122.4 meters, Time: 88.1 seconds
Name: -, Instruction: Turn left, Distance: 154.7 meters, Time: 111.4 seconds
Name: -, Instruction: Turn right, Distance: 54.4 meters, Time: 39.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
