Name: Chemin Errazu, Instruction: Head south on Chemin Errazu, Distance: 191.5 meters, Time: 137.9 seconds
Name: Avenue Circulaire, Instruction: Continue straight onto Avenue Circulaire, Distance: 216.9 meters, Time: 156.2 seconds
Name: Chemin de l'Ancienne Porte, Instruction: Turn sharp right onto Chemin de l'Ancienne Porte, Distance: 33.7 meters, Time: 24.3 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Keep right, Distance: 93.6 meters, Time: 67.4 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 99.1 meters, Time: 71.3 seconds
Name: Allée Pierre Bérégovoy, Instruction: Continue straight onto Allée Pierre Bérégovoy, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Continue straight, Distance: 303.0 meters, Time: 218.1 seconds
Name: -, Instruction: Turn right, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn left, Distance: 392.1 meters, Time: 282.3 seconds
Name: Passage Turquetil, Instruction: Turn right onto Passage Turquetil, Distance: 251.0 meters, Time: 180.7 seconds
Name: Rue de Montreuil, Instruction: Turn right onto Rue de Montreuil, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 118.5 meters, Time: 85.3 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
