Name: 2nd Street, Instruction: Head north on 2nd Street, Distance: 70.4 meters, Time: 50.7 seconds
Name: Heideveld Road, Instruction: Turn left onto Heideveld Road, Distance: 232.1 meters, Time: 167.1 seconds
Name: Heideveld Road, Instruction: Keep right onto Heideveld Road, Distance: 84.1 meters, Time: 60.5 seconds
Name: Jakes Gerwel Drive, M7, Instruction: Turn right onto Jakes Gerwel Drive, M7, Distance: 96.7 meters, Time: 69.6 seconds
Name: -, Instruction: Turn right, Distance: 143.0 meters, Time: 103.0 seconds
Name: -, Instruction: Keep left, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Turn left, Distance: 178.1 meters, Time: 128.2 seconds
Name: Jakes Gerwel Drive, M7, Instruction: Turn right onto Jakes Gerwel Drive, M7, Distance: 375.2 meters, Time: 270.1 seconds
Name: -, Instruction: Keep right, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn left, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Keep left, Distance: 97.8 meters, Time: 70.4 seconds
Name: -, Instruction: Turn left, Distance: 34.8 meters, Time: 25.1 seconds
Name: -, Instruction: Turn right, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Continue straight, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Turn left, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Continue straight, Distance: 45.8 meters, Time: 33.0 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Keep right, Distance: 107.8 meters, Time: 77.6 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 47.0 meters, Time: 33.8 seconds
Name: -, Instruction: Turn right, Distance: 34.1 meters, Time: 24.6 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 71.8 meters, Time: 51.7 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 36.7 meters, Time: 26.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 182.1 meters, Time: 131.1 seconds
Name: -, Instruction: Turn left, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn right, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn left, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn right, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 34.1 meters, Time: 24.5 seconds
Name: Elijah Barayi Road, Instruction: Turn left onto Elijah Barayi Road, Distance: 2.9 meters, Time: 2.1 seconds
Name: Enoch Sontonga Way, Instruction: Turn right onto Enoch Sontonga Way, Distance: 141.3 meters, Time: 101.8 seconds
Name: -, Instruction: Arrive at Enoch Sontonga Way, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
