Name: Boulevard Bessières, Instruction: Head west on Boulevard Bessières, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 30.9 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.6 seconds
Name: Rue du Docteur Paul Brousse, Instruction: Turn left onto Rue du Docteur Paul Brousse, Distance: 97.9 meters, Time: 70.5 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 75.0 meters, Time: 54.0 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Rue de la Jonquière, Instruction: Turn left onto Rue de la Jonquière, Distance: 11.2 meters, Time: 8.1 seconds
Name: Rue Émile Level, Instruction: Turn right onto Rue Émile Level, Distance: 297.7 meters, Time: 214.3 seconds
Name: -, Instruction: Turn left, Distance: 89.7 meters, Time: 64.6 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 296.5 meters, Time: 213.5 seconds
Name: Rue Fourneyron, Instruction: Turn left onto Rue Fourneyron, Distance: 5.2 meters, Time: 3.8 seconds
Name: Rue des Moines, Instruction: Turn right onto Rue des Moines, Distance: 64.5 meters, Time: 46.4 seconds
Name: Rue Lemercier, Instruction: Turn left onto Rue Lemercier, Distance: 336.1 meters, Time: 242.0 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
