Name: Sandbergstraße, Instruction: Head west on Sandbergstraße, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn left, Distance: 30.0 meters, Time: 21.6 seconds
Name: Ganghoferstraße, Instruction: Turn right onto Ganghoferstraße, Distance: 29.5 meters, Time: 21.3 seconds
Name: Ganghoferstraße, Instruction: Turn left onto Ganghoferstraße, Distance: 192.9 meters, Time: 138.9 seconds
Name: Anzengruberstraße, Instruction: Turn left onto Anzengruberstraße, Distance: 60.6 meters, Time: 43.6 seconds
Name: Anzengruberstraße, Instruction: Turn right onto Anzengruberstraße, Distance: 72.1 meters, Time: 51.9 seconds
Name: -, Instruction: Turn left, Distance: 80.2 meters, Time: 57.7 seconds
Name: Michl-Ehbauer-Ring, Instruction: Turn left onto Michl-Ehbauer-Ring, Distance: 76.0 meters, Time: 54.7 seconds
Name: Michl-Ehbauer-Ring, Instruction: Turn left onto Michl-Ehbauer-Ring, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 155.3 meters, Time: 111.8 seconds
Name: Wettersteinstraße, Instruction: Turn left onto Wettersteinstraße, Distance: 287.5 meters, Time: 207.0 seconds
Name: -, Instruction: Turn slight right, Distance: 15.7 meters, Time: 11.3 seconds
Name: Hans-Sachs-Straße, Instruction: Turn left onto Hans-Sachs-Straße, Distance: 32.9 meters, Time: 23.7 seconds
Name: Templerstraße, Instruction: Turn right onto Templerstraße, Distance: 206.3 meters, Time: 148.6 seconds
Name: Alpenstraße, Instruction: Turn right onto Alpenstraße, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn left, Distance: 104.5 meters, Time: 75.2 seconds
Name: -, Instruction: Turn left, Distance: 30.2 meters, Time: 21.7 seconds
Name: Mittenwalder Straße, Instruction: Turn right onto Mittenwalder Straße, Distance: 89.8 meters, Time: 64.6 seconds
Name: -, Instruction: Turn left, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn left, Distance: 81.6 meters, Time: 58.7 seconds
Name: -, Instruction: Turn right, Distance: 61.3 meters, Time: 44.1 seconds
Name: Wendelsteinstraße, Instruction: Turn right onto Wendelsteinstraße, Distance: 68.9 meters, Time: 49.6 seconds
Name: Wallbergstraße, Instruction: Turn left onto Wallbergstraße, Distance: 180.8 meters, Time: 130.2 seconds
Name: -, Instruction: Arrive at Wallbergstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
