Name: Rosenheimer Landstraße, Instruction: Head southeast on Rosenheimer Landstraße, Distance: 255.6 meters, Time: 184.0 seconds
Name: Prinz-Otto-Straße, Instruction: Turn left onto Prinz-Otto-Straße, Distance: 227.3 meters, Time: 163.6 seconds
Name: Friedenstraße, Instruction: Turn right onto Friedenstraße, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 54.5 meters, Time: 39.2 seconds
Name: Jahnstraße, Instruction: Turn right onto Jahnstraße, Distance: 370.1 meters, Time: 266.5 seconds
Name: -, Instruction: Turn slight right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn slight left, Distance: 96.4 meters, Time: 69.4 seconds
Name: Johann-Strauß-Straße, Instruction: Turn right onto Johann-Strauß-Straße, Distance: 63.7 meters, Time: 45.9 seconds
Name: -, Instruction: Turn left, Distance: 144.0 meters, Time: 103.7 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 436.9 meters, Time: 314.6 seconds
Name: -, Instruction: Keep right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 111.9 meters, Time: 80.6 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
