Name: Rue Jobbé-Duval, Instruction: Head northeast on Rue Jobbé-Duval, Distance: 104.6 meters, Time: 75.3 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 139.5 meters, Time: 100.4 seconds
Name: -, Instruction: Turn slight right, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Turn slight right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 158.8 meters, Time: 114.3 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 413.0 meters, Time: 297.4 seconds
Name: -, Instruction: Turn slight left, Distance: 98.7 meters, Time: 71.1 seconds
Name: -, Instruction: Turn slight left, Distance: 176.1 meters, Time: 126.8 seconds
Name: -, Instruction: Turn left, Distance: 234.8 meters, Time: 169.1 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 197.1 meters, Time: 141.9 seconds
Name: Rue Pernety, Instruction: Turn right onto Rue Pernety, Distance: 25.2 meters, Time: 18.1 seconds
Name: Rue Guilleminot, Instruction: Turn left onto Rue Guilleminot, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Turn slight left, Distance: 168.9 meters, Time: 121.6 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: Rue de l'Ouest, Instruction: Turn left onto Rue de l'Ouest, Distance: 302.5 meters, Time: 217.8 seconds
Name: -, Instruction: Turn right, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn slight right, Distance: 65.3 meters, Time: 47.0 seconds
Name: -, Instruction: Keep right, Distance: 43.6 meters, Time: 31.4 seconds
Name: Passage Fermat, Instruction: Turn right onto Passage Fermat, Distance: 97.6 meters, Time: 70.3 seconds
Name: -, Instruction: Arrive at Passage Fermat, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
