Name: King James Street, Instruction: Head northeast on King James Street, Distance: 32.6 meters, Time: 23.4 seconds
Name: Belvedere Buildings, Instruction: Turn left onto Belvedere Buildings, Distance: 35.8 meters, Time: 25.7 seconds
Name: Webber Street, Instruction: Turn right onto Webber Street, Distance: 115.1 meters, Time: 82.9 seconds
Name: Great Suffolk Street, Instruction: Turn right onto Great Suffolk Street, Distance: 248.1 meters, Time: 178.6 seconds
Name: -, Instruction: Turn left, Distance: 109.1 meters, Time: 78.5 seconds
Name: -, Instruction: Keep right, Distance: 99.8 meters, Time: 71.9 seconds
Name: -, Instruction: Turn left, Distance: 45.8 meters, Time: 32.9 seconds
Name: -, Instruction: Keep right, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 57.1 meters, Time: 41.1 seconds
Name: Angel Place, Instruction: Turn right onto Angel Place, Distance: 117.0 meters, Time: 84.2 seconds
Name: Tennis Street, Instruction: Turn sharp left onto Tennis Street, Distance: 140.8 meters, Time: 101.3 seconds
Name: Newcomen Street, Instruction: Turn right onto Newcomen Street, Distance: 155.8 meters, Time: 112.2 seconds
Name: Hamilton Square, Instruction: Turn right onto Hamilton Square, Distance: 23.5 meters, Time: 16.9 seconds
Name: Hamilton Square, Instruction: Turn left onto Hamilton Square, Distance: 18.4 meters, Time: 13.2 seconds
Name: Hamilton Square, Instruction: Turn left onto Hamilton Square, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Keep left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Keep right, Distance: 67.2 meters, Time: 48.4 seconds
Name: Weston Street, Instruction: Turn right onto Weston Street, Distance: 50.1 meters, Time: 36.1 seconds
Name: -, Instruction: Turn left, Distance: 47.0 meters, Time: 33.9 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Keep right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
