Name: Sankt-Martins-Platz, Instruction: Head south on Sankt-Martins-Platz, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 492.2 meters, Time: 354.4 seconds
Name: -, Instruction: Keep right, Distance: 129.1 meters, Time: 92.9 seconds
Name: Sankt-Bonifatius-Straße, Instruction: Turn right onto Sankt-Bonifatius-Straße, Distance: 13.2 meters, Time: 9.5 seconds
Name: Edelweißstraße, Instruction: Turn left onto Edelweißstraße, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Keep right, Distance: 336.7 meters, Time: 242.4 seconds
Name: -, Instruction: Turn right, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 48.0 meters, Time: 34.6 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Kolumbusplatz, Instruction: Turn left onto Kolumbusplatz, Distance: 8.5 meters, Time: 6.1 seconds
Name: Kolumbusplatz, Instruction: Turn right onto Kolumbusplatz, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: Humboldtstraße, Instruction: Turn right onto Humboldtstraße, Distance: 834.0 meters, Time: 600.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 287.0 meters, Time: 206.6 seconds
Name: Am Glockenbach, Instruction: Turn slight right onto Am Glockenbach, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
