Name: Passage de l'Yonne, Instruction: Head southeast on Passage de l'Yonne, Distance: 169.3 meters, Time: 121.9 seconds
Name: -, Instruction: Turn right, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 28.4 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 129.8 meters, Time: 93.4 seconds
Name: Liaison piétonne Bercy - Charenton, Instruction: Continue straight onto Liaison piétonne Bercy - Charenton, Distance: 189.2 meters, Time: 136.2 seconds
Name: Boulevard Poniatowski, Instruction: Turn left onto Boulevard Poniatowski, Distance: 107.0 meters, Time: 77.1 seconds
Name: -, Instruction: Turn right, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Keep left, Distance: 608.5 meters, Time: 438.1 seconds
Name: -, Instruction: Turn right, Distance: 33.0 meters, Time: 23.7 seconds
Name: Avenue de la Porte de Charenton, Instruction: Turn right onto Avenue de la Porte de Charenton, Distance: 334.3 meters, Time: 240.7 seconds
Name: Voie AI/12, Instruction: Turn sharp right onto Voie AI/12, Distance: 88.5 meters, Time: 63.7 seconds
Name: Rue de la Terrasse, Instruction: Turn left onto Rue de la Terrasse, Distance: 266.0 meters, Time: 191.5 seconds
Name: -, Instruction: Arrive at Rue de la Terrasse, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
