Name: Timmer Road, Instruction: Head south on Timmer Road, Distance: 10.1 meters, Time: 7.3 seconds
Name: Golden Pond Road, Instruction: Turn left onto Golden Pond Road, Distance: 79.3 meters, Time: 57.1 seconds
Name: Nightingale Road, Instruction: Turn right onto Nightingale Road, Distance: 75.7 meters, Time: 54.5 seconds
Name: -, Instruction: Turn slight left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 74.2 meters, Time: 53.4 seconds
Name: Koropa Road, Instruction: Turn right onto Koropa Road, Distance: 2.4 meters, Time: 1.8 seconds
Name: Flat Bush School Shared Path, Instruction: Turn left onto Flat Bush School Shared Path, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Keep left, Distance: 191.4 meters, Time: 137.8 seconds
Name: -, Instruction: Keep right, Distance: 68.6 meters, Time: 49.4 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 235.2 meters, Time: 169.3 seconds
Name: -, Instruction: Turn left, Distance: 153.6 meters, Time: 110.6 seconds
Name: -, Instruction: Turn right, Distance: 140.0 meters, Time: 100.8 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: Matiki Road, Instruction: Turn right onto Matiki Road, Distance: 6.3 meters, Time: 4.5 seconds
Name: Whakatupu Road, Instruction: Turn left onto Whakatupu Road, Distance: 158.8 meters, Time: 114.3 seconds
Name: -, Instruction: Arrive at Whakatupu Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
