Name: Calle 39, Instruction: Head northeast on Calle 39, Distance: 33.7 meters, Time: 24.3 seconds
Name: Avenida 16, Instruction: Turn left onto Avenida 16, Distance: 421.7 meters, Time: 303.6 seconds
Name: Calle 19, Instruction: Turn left onto Calle 19, Distance: 104.4 meters, Time: 75.2 seconds
Name: Avenida 18, Instruction: Turn sharp right onto Avenida 18, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 111.6 meters, Time: 80.4 seconds
Name: -, Instruction: Keep right, Distance: 70.6 meters, Time: 50.9 seconds
Name: Jesús Galindo y Villa, Instruction: Turn left onto Jesús Galindo y Villa, Distance: 127.8 meters, Time: 92.0 seconds
Name: Avenida Luis de la Rosa, Instruction: Keep right onto Avenida Luis de la Rosa, Distance: 503.1 meters, Time: 362.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Keep right, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Keep left, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn slight right, Distance: 19.5 meters, Time: 14.0 seconds
Name: Calle Radamés Treviño, Instruction: Turn right onto Calle Radamés Treviño, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: Calle Radamés Treviño, Instruction: Turn left onto Calle Radamés Treviño, Distance: 49.1 meters, Time: 35.3 seconds
Name: Ciudad Deportiva, Instruction: Turn right onto Ciudad Deportiva, Distance: 284.0 meters, Time: 204.5 seconds
Name: Retorno 10, Instruction: Turn sharp right onto Retorno 10, Distance: 74.5 meters, Time: 53.6 seconds
Name: Ciudad Deportiva, Instruction: Turn right onto Ciudad Deportiva, Distance: 14.2 meters, Time: 10.3 seconds
Name: Fernando Iglesias Calderón, Instruction: Turn left onto Fernando Iglesias Calderón, Distance: 223.2 meters, Time: 160.7 seconds
Name: -, Instruction: Arrive at Fernando Iglesias Calderón, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
