Name: Maynard Street, Instruction: Head north on Maynard Street, Distance: 176.2 meters, Time: 126.9 seconds
Name: Roodehek Street, Instruction: Turn right onto Roodehek Street, Distance: 35.0 meters, Time: 25.2 seconds
Name: Clare Street, Instruction: Turn left onto Clare Street, Distance: 75.3 meters, Time: 54.2 seconds
Name: Wesley Street, Instruction: Turn right onto Wesley Street, Distance: 63.6 meters, Time: 45.8 seconds
Name: -, Instruction: Continue straight, Distance: 84.2 meters, Time: 60.6 seconds
Name: Wesley Street, Instruction: Continue straight onto Wesley Street, Distance: 64.0 meters, Time: 46.1 seconds
Name: Glynn Street, Instruction: Turn right onto Glynn Street, Distance: 33.9 meters, Time: 24.4 seconds
Name: McKenzie Street, Instruction: Turn left onto McKenzie Street, Distance: 363.4 meters, Time: 261.7 seconds
Name: Constitution Street, Instruction: Turn right onto Constitution Street, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Keep left, Distance: 103.1 meters, Time: 74.2 seconds
Name: -, Instruction: Turn slight right, Distance: 43.8 meters, Time: 31.5 seconds
Name: -, Instruction: Keep right, Distance: 414.0 meters, Time: 298.1 seconds
Name: -, Instruction: Turn left, Distance: 214.9 meters, Time: 154.7 seconds
Name: -, Instruction: Turn right, Distance: 93.9 meters, Time: 67.6 seconds
Name: -, Instruction: Turn left, Distance: 43.2 meters, Time: 31.1 seconds
Name: Hanover Street, Instruction: Turn right onto Hanover Street, Distance: 55.1 meters, Time: 39.7 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
