Name: Bachbauernstraße, Instruction: Head south on Bachbauernstraße, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 88.8 meters, Time: 63.9 seconds
Name: -, Instruction: Turn right, Distance: 350.7 meters, Time: 252.5 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn slight right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Keep left, Distance: 95.5 meters, Time: 68.8 seconds
Name: Steinerweg, Instruction: Turn right onto Steinerweg, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 199.1 meters, Time: 143.4 seconds
Name: Paosostraße, Instruction: Turn right onto Paosostraße, Distance: 259.6 meters, Time: 186.9 seconds
Name: -, Instruction: Arrive at Paosostraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
