Name: Rue de la Sablière, Instruction: Head west on Rue de la Sablière, Distance: 6.4 meters, Time: 4.6 seconds
Name: Rue Georges Sache, Instruction: Turn right onto Rue Georges Sache, Distance: 132.4 meters, Time: 95.3 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 69.4 meters, Time: 49.9 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 119.4 meters, Time: 85.9 seconds
Name: Place de Moro-Giafferi, Instruction: Continue straight onto Place de Moro-Giafferi, Distance: 55.9 meters, Time: 40.2 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 1.9 seconds
Name: Rue Didot, Instruction: Turn right onto Rue Didot, Distance: 15.0 meters, Time: 10.8 seconds
Name: Rue Édouard Jacques, Instruction: Keep left onto Rue Édouard Jacques, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Turn left, Distance: 63.5 meters, Time: 45.7 seconds
Name: -, Instruction: Turn slight left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 114.2 meters, Time: 82.2 seconds
Name: -, Instruction: Turn slight left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Keep left, Distance: 113.0 meters, Time: 81.4 seconds
Name: -, Instruction: Turn left, Distance: 32.6 meters, Time: 23.5 seconds
Name: Place de Catalogne, Instruction: Turn right onto Place de Catalogne, Distance: 46.2 meters, Time: 33.2 seconds
Name: Place de Catalogne, Instruction: Turn slight left onto Place de Catalogne, Distance: 25.6 meters, Time: 18.4 seconds
Name: Rue du Château, Instruction: Turn right onto Rue du Château, Distance: 87.3 meters, Time: 62.8 seconds
Name: Place des Cinq Martyrs du Lycée Buffon, Instruction: Continue straight onto Place des Cinq Martyrs du Lycée Buffon, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Continue straight, Distance: 187.4 meters, Time: 134.9 seconds
Name: -, Instruction: Keep right, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn slight right, Distance: 92.1 meters, Time: 66.3 seconds
Name: -, Instruction: Turn slight right, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: Rue Dalou, Instruction: Turn left onto Rue Dalou, Distance: 61.1 meters, Time: 44.0 seconds
Name: -, Instruction: Turn right, Distance: 94.6 meters, Time: 68.1 seconds
Name: -, Instruction: Turn right, Distance: 39.5 meters, Time: 28.5 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: Impasse Ronsin, Instruction: Turn left onto Impasse Ronsin, Distance: 90.3 meters, Time: 65.0 seconds
Name: -, Instruction: Turn right, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Turn left, Distance: 189.2 meters, Time: 136.2 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
