Name: Boulevard Berthier, Instruction: Head east on Boulevard Berthier, Distance: 15.9 meters, Time: 11.4 seconds
Name: Avenue Gourgaud, Instruction: Turn sharp right onto Avenue Gourgaud, Distance: 7.8 meters, Time: 5.6 seconds
Name: Avenue Stéphane Mallarmé, Instruction: Turn sharp left onto Avenue Stéphane Mallarmé, Distance: 22.7 meters, Time: 16.4 seconds
Name: Rue Eugène Flachat, Instruction: Turn right onto Rue Eugène Flachat, Distance: 195.3 meters, Time: 140.6 seconds
Name: Rue Alfred Roll, Instruction: Turn right onto Rue Alfred Roll, Distance: 255.4 meters, Time: 183.9 seconds
Name: Rue Alphonse de Neuville, Instruction: Keep left onto Rue Alphonse de Neuville, Distance: 12.7 meters, Time: 9.1 seconds
Name: Rue Ampère, Instruction: Enter the roundabout and take the 2nd exit onto Rue Ampère, Distance: 250.3 meters, Time: 180.2 seconds
Name: Rue Ampère, Instruction: Keep left onto Rue Ampère, Distance: 37.7 meters, Time: 27.1 seconds
Name: Rue Jouffroy d'Abbans, Instruction: Continue straight onto Rue Jouffroy d'Abbans, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight left, Distance: 69.2 meters, Time: 49.8 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn slight right, Distance: 68.8 meters, Time: 49.6 seconds
Name: -, Instruction: Turn slight left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 64.2 meters, Time: 46.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
