Name: Trevor Housley Avenue, Instruction: Head north on Trevor Housley Avenue, Distance: 370.9 meters, Time: 267.0 seconds
Name: -, Instruction: Keep right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 117.2 meters, Time: 84.4 seconds
Name: -, Instruction: Keep left, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 102.6 meters, Time: 73.9 seconds
Name: -, Instruction: Turn slight right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 34.9 meters, Time: 25.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 519.0 meters, Time: 373.7 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: Birdwood Avenue, Instruction: Turn right onto Birdwood Avenue, Distance: 5.4 meters, Time: 3.9 seconds
Name: Rosenthal Street, Instruction: Enter the roundabout and take the 1st exit onto Rosenthal Street, Distance: 115.4 meters, Time: 83.1 seconds
Name: -, Instruction: Arrive at Rosenthal Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
