Name: Anson Road, Instruction: Head northeast on Anson Road, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Keep right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 96.9 meters, Time: 69.8 seconds
Name: -, Instruction: Turn left, Distance: 113.9 meters, Time: 82.0 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 78.1 meters, Time: 56.2 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 330.8 meters, Time: 238.2 seconds
Name: -, Instruction: Turn slight left, Distance: 168.1 meters, Time: 121.0 seconds
Name: -, Instruction: Turn right, Distance: 14.2 meters, Time: 10.2 seconds
Name: Maxwell Road, Instruction: Turn left onto Maxwell Road, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Arrive at Maxwell Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
