Name: Boulevard Edgar Quinet, Instruction: Head southeast on Boulevard Edgar Quinet, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 162.1 meters, Time: 116.7 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn slight right, Distance: 164.8 meters, Time: 118.6 seconds
Name: -, Instruction: Turn left, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn left, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn right, Distance: 97.0 meters, Time: 69.8 seconds
Name: -, Instruction: Turn left, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: Rue Notre-Dame-des-Champs, Instruction: Turn right onto Rue Notre-Dame-des-Champs, Distance: 97.2 meters, Time: 70.0 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 240.0 meters, Time: 172.8 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
