Name: Bourke Road, Instruction: Head south on Bourke Road, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Continue straight, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 137.6 meters, Time: 99.1 seconds
Name: -, Instruction: Keep right, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 194.0 meters, Time: 139.7 seconds
Name: -, Instruction: Turn right, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 88.9 meters, Time: 64.0 seconds
Name: -, Instruction: Keep left, Distance: 343.3 meters, Time: 247.2 seconds
Name: -, Instruction: Turn slight left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 213.9 meters, Time: 154.0 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 10.0 seconds
Name: Campbell Road - Princes Highway Crossing, Instruction: Turn left onto Campbell Road - Princes Highway Crossing, Distance: 36.7 meters, Time: 26.5 seconds
Name: -, Instruction: Turn slight right, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn slight left, Distance: 164.4 meters, Time: 118.4 seconds
Name: -, Instruction: Continue straight, Distance: 230.5 meters, Time: 166.0 seconds
Name: -, Instruction: Turn slight left, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn right, Distance: 220.4 meters, Time: 158.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
