Name: Von-Stauffenberg-Straße, Instruction: Head west on Von-Stauffenberg-Straße, Distance: 10.0 meters, Time: 7.2 seconds
Name: Am Hachinger Bach, Instruction: Turn left onto Am Hachinger Bach, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 121.7 meters, Time: 87.6 seconds
Name: -, Instruction: Turn slight left, Distance: 9.9 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Keep left, Distance: 202.2 meters, Time: 145.6 seconds
Name: -, Instruction: Keep right, Distance: 19.8 meters, Time: 14.3 seconds
Name: Münchner Straße, Instruction: Turn right onto Münchner Straße, Distance: 16.2 meters, Time: 11.6 seconds
Name: Münchner Straße, Instruction: Turn slight left onto Münchner Straße, Distance: 238.9 meters, Time: 172.0 seconds
Name: -, Instruction: Continue straight, Distance: 93.0 meters, Time: 67.0 seconds
Name: Münchner Straße, Instruction: Keep right onto Münchner Straße, Distance: 509.4 meters, Time: 366.8 seconds
Name: Sankt-Alto-Straße, Instruction: Turn left onto Sankt-Alto-Straße, Distance: 214.0 meters, Time: 154.1 seconds
Name: Professor-Huber-Straße, Instruction: Turn right onto Professor-Huber-Straße, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Arrive at Professor-Huber-Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
