Name: Windermere Avenue, Instruction: Head north on Windermere Avenue, Distance: 251.6 meters, Time: 181.2 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.7 seconds
Name: -, Instruction: Turn slight right, Distance: 71.5 meters, Time: 51.5 seconds
Name: -, Instruction: Keep left, Distance: 37.0 meters, Time: 26.7 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn left, Distance: 38.8 meters, Time: 27.9 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 389.3 meters, Time: 280.3 seconds
Name: -, Instruction: Turn right, Distance: 291.0 meters, Time: 209.5 seconds
Name: -, Instruction: Keep right, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Turn slight right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn slight left, Distance: 268.2 meters, Time: 193.1 seconds
Name: -, Instruction: Turn left, Distance: 133.0 meters, Time: 95.8 seconds
Name: -, Instruction: Turn left, Distance: 228.9 meters, Time: 164.8 seconds
Name: -, Instruction: Turn right, Distance: 281.7 meters, Time: 202.8 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
