Name: Maiden Street, Instruction: Head northwest on Maiden Street, Distance: 614.3 meters, Time: 442.3 seconds
Name: Russell Street, Instruction: Enter the roundabout and take the 1st exit onto Russell Street, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn slight left, Distance: 73.0 meters, Time: 52.6 seconds
Name: -, Instruction: Turn right, Distance: 252.5 meters, Time: 181.8 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 67.7 meters, Time: 48.8 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Keep right, Distance: 47.7 meters, Time: 34.4 seconds
Name: -, Instruction: Turn slight left, Distance: 219.2 meters, Time: 157.8 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
