Name: McFarrens Lane, Instruction: Head north on McFarrens Lane, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 351.0 meters, Time: 252.7 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 61.2 meters, Time: 44.1 seconds
Name: -, Instruction: Keep right, Distance: 155.9 meters, Time: 112.3 seconds
Name: -, Instruction: Turn right, Distance: 31.7 meters, Time: 22.8 seconds
Name: Ditty Lane, Instruction: Turn left onto Ditty Lane, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 31.9 meters, Time: 22.9 seconds
Name: -, Instruction: Keep right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Keep left, Distance: 55.9 meters, Time: 40.3 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 55.9 meters, Time: 40.2 seconds
Name: Bond Street, Instruction: Turn right onto Bond Street, Distance: 191.4 meters, Time: 137.8 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 109.9 meters, Time: 79.1 seconds
Name: -, Instruction: Turn left, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 117.5 meters, Time: 84.6 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Keep right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 634.3 meters, Time: 456.7 seconds
Name: -, Instruction: Turn right, Distance: 161.5 meters, Time: 116.3 seconds
Name: Elm Street, Instruction: Turn left onto Elm Street, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Arrive at Elm Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
