Name: Struan Place, Instruction: Head west on Struan Place, Distance: 44.8 meters, Time: 32.2 seconds
Name: Aberfeldy Avenue, Instruction: Turn left onto Aberfeldy Avenue, Distance: 25.5 meters, Time: 18.3 seconds
Name: Palmcrest Grove, Instruction: Turn right onto Palmcrest Grove, Distance: 58.1 meters, Time: 41.9 seconds
Name: Palmcrest Grove, Instruction: Turn right onto Palmcrest Grove, Distance: 100.3 meters, Time: 72.2 seconds
Name: -, Instruction: Turn right, Distance: 132.1 meters, Time: 95.1 seconds
Name: Aviemore Drive, Instruction: Turn left onto Aviemore Drive, Distance: 130.8 meters, Time: 94.2 seconds
Name: -, Instruction: Turn right, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Turn right, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Continue straight, Distance: 54.0 meters, Time: 38.9 seconds
Name: -, Instruction: Keep right, Distance: 76.2 meters, Time: 54.9 seconds
Name: -, Instruction: Turn slight right, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 84.4 meters, Time: 60.7 seconds
Name: -, Instruction: Turn slight left, Distance: 191.3 meters, Time: 137.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
