Name: Rue de la Terrasse, Instruction: Head northeast on Rue de la Terrasse, Distance: 25.4 meters, Time: 18.3 seconds
Name: Allée de la Terrasse, Instruction: Turn left onto Allée de la Terrasse, Distance: 88.5 meters, Time: 63.7 seconds
Name: Avenue de la Porte de Charenton, Instruction: Turn sharp left onto Avenue de la Porte de Charenton, Distance: 334.3 meters, Time: 240.7 seconds
Name: -, Instruction: Turn left, Distance: 33.0 meters, Time: 23.7 seconds
Name: -, Instruction: Turn left, Distance: 608.5 meters, Time: 438.1 seconds
Name: -, Instruction: Turn slight right, Distance: 102.4 meters, Time: 73.7 seconds
Name: -, Instruction: Keep right, Distance: 316.9 meters, Time: 228.2 seconds
Name: -, Instruction: Turn left, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn left, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Turn left, Distance: 235.6 meters, Time: 169.6 seconds
Name: Rue Watt, Instruction: Turn left onto Rue Watt, Distance: 40.2 meters, Time: 28.9 seconds
Name: -, Instruction: Arrive at Rue Watt, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
