Name: Stella Road, Instruction: Head southwest on Stella Road, Distance: 413.0 meters, Time: 297.4 seconds
Name: Dawn Road, Instruction: Turn right onto Dawn Road, Distance: 130.7 meters, Time: 94.1 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.7 seconds
Name: Montague Drive, Instruction: Turn left onto Montague Drive, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Turn right, Distance: 156.6 meters, Time: 112.7 seconds
Name: -, Instruction: Turn right, Distance: 66.5 meters, Time: 47.9 seconds
Name: 2nd Road, Instruction: Turn left onto 2nd Road, Distance: 326.3 meters, Time: 234.9 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 85.0 meters, Time: 61.2 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 81.8 meters, Time: 58.9 seconds
Name: -, Instruction: Turn left, Distance: 21.3 meters, Time: 15.4 seconds
Name: Montague Drive, Instruction: Turn right onto Montague Drive, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: Montague Drive, Instruction: Turn right onto Montague Drive, Distance: 165.5 meters, Time: 119.1 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 81.8 meters, Time: 58.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
