Name: Rue de Laborde, Instruction: Head east on Rue de Laborde, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn slight right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 57.3 meters, Time: 41.3 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 89.3 meters, Time: 64.3 seconds
Name: -, Instruction: Turn left, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn slight right, Distance: 96.5 meters, Time: 69.5 seconds
Name: -, Instruction: Turn right, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 100.1 meters, Time: 72.0 seconds
Name: -, Instruction: Turn slight right, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Turn slight left, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 160.7 meters, Time: 115.7 seconds
Name: -, Instruction: Turn left, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn left, Distance: 310.5 meters, Time: 223.5 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
