Name: St. Clarens Avenue, Instruction: Head north on St. Clarens Avenue, Distance: 305.4 meters, Time: 219.9 seconds
Name: -, Instruction: Turn left, Distance: 570.9 meters, Time: 411.1 seconds
Name: -, Instruction: Turn right, Distance: 260.2 meters, Time: 187.4 seconds
Name: -, Instruction: Keep right, Distance: 208.0 meters, Time: 149.8 seconds
Name: -, Instruction: Turn slight right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Keep left, Distance: 112.9 meters, Time: 81.3 seconds
Name: -, Instruction: Keep right, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn slight left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 287.5 meters, Time: 207.0 seconds
Name: -, Instruction: Turn right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 110.0 meters, Time: 79.2 seconds
Name: -, Instruction: Keep right, Distance: 109.9 meters, Time: 79.2 seconds
Name: Chelsea Avenue, Instruction: Turn right onto Chelsea Avenue, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Arrive at Chelsea Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
