Name: Keegan Drive, Instruction: Head northeast on Keegan Drive, Distance: 597.5 meters, Time: 430.2 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 90.2 meters, Time: 65.0 seconds
Name: -, Instruction: Turn left, Distance: 119.9 meters, Time: 86.3 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 785.2 meters, Time: 565.3 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 29.5 meters, Time: 21.3 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 135.4 meters, Time: 97.5 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 245.6 meters, Time: 176.8 seconds
Name: -, Instruction: Turn left, Distance: 89.1 meters, Time: 64.2 seconds
Name: -, Instruction: Keep right, Distance: 9.3 meters, Time: 6.7 seconds
Name: Kemp Road, Instruction: Turn right onto Kemp Road, Distance: 6.2 meters, Time: 4.5 seconds
Name: Helleur Road, Instruction: Turn left onto Helleur Road, Distance: 56.9 meters, Time: 41.0 seconds
Name: Vadam Road, Instruction: Turn right onto Vadam Road, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 230.7 meters, Time: 166.1 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
