Name: Small Road, Instruction: Head north on Small Road, Distance: 473.8 meters, Time: 341.2 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 60.6 meters, Time: 43.6 seconds
Name: -, Instruction: Continue straight, Distance: 74.5 meters, Time: 53.7 seconds
Name: -, Instruction: Turn right, Distance: 143.6 meters, Time: 103.4 seconds
Name: -, Instruction: Turn slight left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 39.1 meters, Time: 28.1 seconds
Name: -, Instruction: Turn left, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Keep left, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn left, Distance: 174.7 meters, Time: 125.8 seconds
Name: -, Instruction: Turn right, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
