Name: College Road, Instruction: Head west on College Road, Distance: 14.0 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 36.8 meters, Time: 26.5 seconds
Name: Khalfe Road, Instruction: Turn slight left onto Khalfe Road, Distance: 750.4 meters, Time: 540.3 seconds
Name: -, Instruction: Turn left, Distance: 40.2 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 87.7 meters, Time: 63.1 seconds
Name: Pooke Road, Instruction: Turn left onto Pooke Road, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 48.6 meters, Time: 35.0 seconds
Name: Gideon Road, Instruction: Turn left onto Gideon Road, Distance: 121.3 meters, Time: 87.4 seconds
Name: Masterman Crescent, Instruction: Turn right onto Masterman Crescent, Distance: 64.9 meters, Time: 46.7 seconds
Name: -, Instruction: Arrive at Masterman Crescent, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
