Name: Cambridge Heath Road, A107, Instruction: Head southeast on Cambridge Heath Road, A107, Distance: 225.4 meters, Time: 162.3 seconds
Name: Old Bethnal Green Road, Instruction: Turn right onto Old Bethnal Green Road, Distance: 232.5 meters, Time: 167.4 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Turn left, Distance: 181.4 meters, Time: 130.6 seconds
Name: Mansford Street, Instruction: Turn right onto Mansford Street, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn left, Distance: 136.4 meters, Time: 98.2 seconds
Name: Nelson Gardens, Instruction: Turn right onto Nelson Gardens, Distance: 8.9 meters, Time: 6.4 seconds
Name: Nelson Gardens, Instruction: Keep left onto Nelson Gardens, Distance: 28.9 meters, Time: 20.8 seconds
Name: Kite Place, Instruction: Turn left onto Kite Place, Distance: 65.4 meters, Time: 47.1 seconds
Name: Wellington Row, Instruction: Continue straight onto Wellington Row, Distance: 184.0 meters, Time: 132.5 seconds
Name: -, Instruction: Arrive at Wellington Row, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
