Name: Elliot Street, Instruction: Head east on Elliot Street, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Turn right, Distance: 333.5 meters, Time: 240.1 seconds
Name: -, Instruction: Keep right, Distance: 204.0 meters, Time: 146.9 seconds
Name: -, Instruction: Keep left, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 68.5 meters, Time: 49.3 seconds
Name: Showground Avenue, Instruction: Turn left onto Showground Avenue, Distance: 35.4 meters, Time: 25.5 seconds
Name: Bofors Circle, Instruction: Turn right onto Bofors Circle, Distance: 215.3 meters, Time: 155.0 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 217.3 meters, Time: 156.4 seconds
Name: -, Instruction: Keep right, Distance: 225.9 meters, Time: 162.6 seconds
Name: -, Instruction: Turn right, Distance: 52.6 meters, Time: 37.9 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 280.2 meters, Time: 201.7 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: Viking Way, M16, Instruction: Turn left onto Viking Way, M16, Distance: 48.1 meters, Time: 34.6 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.4 seconds
Name: Sipres Avenue, Instruction: Turn right onto Sipres Avenue, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 33.9 meters, Time: 24.4 seconds
Name: Sipres Avenue, Instruction: Turn left onto Sipres Avenue, Distance: 210.1 meters, Time: 151.3 seconds
Name: -, Instruction: Turn right, Distance: 270.2 meters, Time: 194.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
