Name: Rua Barão da Torre, Instruction: Head east on Rua Barão da Torre, Distance: 71.8 meters, Time: 51.7 seconds
Name: Rua Antônio Parreiras, Instruction: Turn left onto Rua Antônio Parreiras, Distance: 188.2 meters, Time: 135.5 seconds
Name: Rua Piragibe Frota Aguiar, Instruction: Turn right onto Rua Piragibe Frota Aguiar, Distance: 96.1 meters, Time: 69.2 seconds
Name: Rua Bulhões de Carvalho, Instruction: Turn slight right onto Rua Bulhões de Carvalho, Distance: 421.0 meters, Time: 303.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 28.1 meters, Time: 20.3 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn left, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
