Name: Lindner Street, Instruction: Head east on Lindner Street, Distance: 132.9 meters, Time: 95.7 seconds
Name: -, Instruction: Turn right, Distance: 205.3 meters, Time: 147.8 seconds
Name: -, Instruction: Keep left, Distance: 271.2 meters, Time: 195.3 seconds
Name: -, Instruction: Turn right, Distance: 139.9 meters, Time: 100.7 seconds
Name: -, Instruction: Turn left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn slight right, Distance: 216.6 meters, Time: 155.9 seconds
Name: -, Instruction: Keep right, Distance: 111.0 meters, Time: 79.9 seconds
Name: Indian Grove, Instruction: Turn left onto Indian Grove, Distance: 35.9 meters, Time: 25.9 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Turn slight right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Keep right, Distance: 7.6 meters, Time: 5.5 seconds
Name: Humberside Avenue, Instruction: Turn right onto Humberside Avenue, Distance: 105.5 meters, Time: 76.0 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Turn left, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: Medland Crescent, Instruction: Turn left onto Medland Crescent, Distance: 213.0 meters, Time: 153.4 seconds
Name: Pacific Avenue, Instruction: Turn left onto Pacific Avenue, Distance: 254.5 meters, Time: 183.2 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 211.3 meters, Time: 152.1 seconds
Name: -, Instruction: Turn right, Distance: 56.1 meters, Time: 40.4 seconds
Name: -, Instruction: Turn right, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
