Name: Manor Road East, Instruction: Head west on Manor Road East, Distance: 471.8 meters, Time: 339.7 seconds
Name: Manor Lane, Instruction: Turn right onto Manor Lane, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 296.1 meters, Time: 213.2 seconds
Name: -, Instruction: Turn left, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Continue straight, Distance: 127.4 meters, Time: 91.7 seconds
Name: -, Instruction: Turn right, Distance: 77.8 meters, Time: 56.0 seconds
Name: Hillsdale Avenue West, Instruction: Turn left onto Hillsdale Avenue West, Distance: 102.1 meters, Time: 73.5 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: Colin Avenue, Instruction: Turn right onto Colin Avenue, Distance: 161.3 meters, Time: 116.1 seconds
Name: Colin Avenue, Instruction: Keep right onto Colin Avenue, Distance: 233.7 meters, Time: 168.2 seconds
Name: -, Instruction: Turn left, Distance: 474.3 meters, Time: 341.5 seconds
Name: -, Instruction: Turn slight right, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
