Name: Rue Martin Bernard, Instruction: Head north on Rue Martin Bernard, Distance: 244.8 meters, Time: 176.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 90.2 meters, Time: 64.9 seconds
Name: Place Paul Verlaine, Instruction: Turn right onto Place Paul Verlaine, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 417.7 meters, Time: 300.7 seconds
Name: -, Instruction: Turn right, Distance: 52.6 meters, Time: 37.8 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 63.0 meters, Time: 45.4 seconds
Name: -, Instruction: Turn left, Distance: 152.8 meters, Time: 110.0 seconds
Name: -, Instruction: Turn slight left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Keep left, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn right, Distance: 65.9 meters, Time: 47.4 seconds
Name: -, Instruction: Turn left, Distance: 368.7 meters, Time: 265.5 seconds
Name: -, Instruction: Turn left, Distance: 118.6 meters, Time: 85.4 seconds
Name: -, Instruction: Turn slight right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Keep left, Distance: 159.9 meters, Time: 115.1 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: Boulevard Vincent Auriol, Instruction: Turn right onto Boulevard Vincent Auriol, Distance: 7.0 meters, Time: 5.1 seconds
Name: Rue Bruant, Instruction: Turn right onto Rue Bruant, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Arrive at Rue Bruant, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
