Name: Villa Perreur, Instruction: Head southwest on Villa Perreur, Distance: 2.7 meters, Time: 2.0 seconds
Name: Rue de la Dhuis, Instruction: Turn left onto Rue de la Dhuis, Distance: 101.3 meters, Time: 72.9 seconds
Name: Rue Étienne Marey, Instruction: Turn right onto Rue Étienne Marey, Distance: 105.6 meters, Time: 76.0 seconds
Name: Rue du Capitaine Marchal, Instruction: Continue straight onto Rue du Capitaine Marchal, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: Place Octave Chanute, Instruction: Turn right onto Place Octave Chanute, Distance: 228.5 meters, Time: 164.5 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: Rue Pelleport, Instruction: Turn left onto Rue Pelleport, Distance: 98.8 meters, Time: 71.2 seconds
Name: Rue de l'Indre, Instruction: Turn right onto Rue de l'Indre, Distance: 100.6 meters, Time: 72.4 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn slight right, Distance: 122.4 meters, Time: 88.1 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: Rue des Prairies, Instruction: Turn left onto Rue des Prairies, Distance: 86.8 meters, Time: 62.5 seconds
Name: Rue des Prairies, Instruction: Turn slight right onto Rue des Prairies, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 77.2 meters, Time: 55.6 seconds
Name: Place Saint-Blaise, Instruction: Turn left onto Place Saint-Blaise, Distance: 6.1 meters, Time: 4.4 seconds
Name: Place Saint-Blaise, Instruction: Turn right onto Place Saint-Blaise, Distance: 5.9 meters, Time: 4.2 seconds
Name: Place Saint-Blaise, Instruction: Turn left onto Place Saint-Blaise, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 91.1 meters, Time: 65.6 seconds
Name: -, Instruction: Keep left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn slight right, Distance: 2.8 meters, Time: 2.0 seconds
Name: Rue Florian, Instruction: Turn left onto Rue Florian, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 155.6 meters, Time: 112.0 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 60.2 meters, Time: 43.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
