Name: Rue Casimir Périer, Instruction: Head southwest on Rue Casimir Périer, Distance: 5.0 meters, Time: 3.6 seconds
Name: Rue de Grenelle, Instruction: Turn right onto Rue de Grenelle, Distance: 60.0 meters, Time: 43.2 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 199.7 meters, Time: 143.8 seconds
Name: -, Instruction: Turn right, Distance: 130.2 meters, Time: 93.7 seconds
Name: -, Instruction: Turn left, Distance: 477.2 meters, Time: 343.6 seconds
Name: -, Instruction: Turn slight right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn slight right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Turn left, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Keep right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
