Name: Auburn Road, Instruction: Head north on Auburn Road, Distance: 5.2 meters, Time: 3.7 seconds
Name: Pobje Avenue, Instruction: Turn right onto Pobje Avenue, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 86.6 meters, Time: 62.3 seconds
Name: Moller Avenue, Instruction: Turn right onto Moller Avenue, Distance: 293.9 meters, Time: 211.6 seconds
Name: -, Instruction: Keep right, Distance: 82.8 meters, Time: 59.7 seconds
Name: -, Instruction: Turn right, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: Avalon Street, Instruction: Turn right onto Avalon Street, Distance: 23.2 meters, Time: 16.7 seconds
Name: Teresa Street, Instruction: Turn left onto Teresa Street, Distance: 168.9 meters, Time: 121.6 seconds
Name: Marmion Street, Instruction: Turn right onto Marmion Street, Distance: 166.9 meters, Time: 120.2 seconds
Name: -, Instruction: Turn left, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn right, Distance: 138.4 meters, Time: 99.6 seconds
Name: -, Instruction: Turn left, Distance: 45.2 meters, Time: 32.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
