Name: Civic Road, Instruction: Head west on Civic Road, Distance: 392.7 meters, Time: 282.7 seconds
Name: -, Instruction: Turn left, Distance: 421.9 meters, Time: 303.7 seconds
Name: Sherry Road, Instruction: Turn right onto Sherry Road, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 192.0 meters, Time: 138.2 seconds
Name: -, Instruction: Turn slight right, Distance: 804.4 meters, Time: 579.2 seconds
Name: -, Instruction: Turn left, Distance: 202.0 meters, Time: 145.5 seconds
Name: -, Instruction: Turn right, Distance: 110.0 meters, Time: 79.2 seconds
Name: Karnwood Drive, Instruction: Turn sharp left onto Karnwood Drive, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 49.8 meters, Time: 35.8 seconds
Name: -, Instruction: Turn left, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
