Name: Rue Mars et Roty, Instruction: Head northwest on Rue Mars et Roty, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: Boulevard Richard Wallace, Instruction: Turn right onto Boulevard Richard Wallace, Distance: 90.2 meters, Time: 64.9 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 156.1 meters, Time: 112.4 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 513.0 meters, Time: 369.4 seconds
Name: -, Instruction: Turn left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn left, Distance: 84.9 meters, Time: 61.1 seconds
Name: -, Instruction: Keep right, Distance: 93.3 meters, Time: 67.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
