Name: Keele Street, Instruction: Head south on Keele Street, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 447.2 meters, Time: 322.0 seconds
Name: -, Instruction: Keep left, Distance: 381.4 meters, Time: 274.6 seconds
Name: -, Instruction: Turn right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 525.5 meters, Time: 378.4 seconds
Name: -, Instruction: Keep right, Distance: 440.6 meters, Time: 317.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn slight left, Distance: 384.4 meters, Time: 276.7 seconds
Name: -, Instruction: Keep left, Distance: 95.1 meters, Time: 68.4 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
